zip_code,y_2016,y_2015,y_2014,y_2013,y_2012,y_2011,y_2010,aggregate,average
10708,22632,22178,22497,21809,21464,21309,21225,153114,21873.42857
10709,9090,9357,9347,9303,9605,9586,9292,65580,9368.571429
10710,27602,27628,27388,26432,25811,25472,25120,185453,26493.28571
10801,42154,41577,41265,41093,40674,40120,40827,287710,41101.42857
10803,12560,12560,12523,12439,12470,12392,12435,87379,12482.71429
10804,14634,14795,14850,15096,15069,15019,14146,103609,14801.28571
10805,18503,18799,18898,18138,17758,17828,18414,128338,18334
10901,23959,23235,23195,22875,23337,23007,23465,163073,23296.14286
10910,27,23,24,26,0,0,21,121,17.28571429
10911,0,0,0,0,0,0,2,2,0.285714286
10913,5626,5302,5657,5175,5277,5245,5532,37814,5402
10914,455,366,421,224,310,287,414,2477,353.8571429
10915,14,104,168,158,158,216,119,937,133.8571429
10916,4265,4238,4374,4446,4468,4518,4540,30849,4407
10917,2134,2030,1959,1808,1790,2134,1968,13823,1974.714286
10918,12264,12258,11700,12043,11766,11480,11647,83158,11879.71429
10919,1331,1405,1647,1346,1312,1149,1040,9230,1318.571429
10920,8877,8946,8682,8744,8648,8385,8554,60836,8690.857143
10921,3856,3861,4138,3926,4094,3926,4135,27936,3990.857143
10922,1568,1347,1406,1355,1165,998,1559,9398,1342.571429
10923,8796,8473,8705,8797,8736,8587,8732,60826,8689.428571
10924,13388,13255,13153,13141,12913,13091,13120,92061,13151.57143
10925,4061,4330,4300,4446,4302,4370,4539,30348,4335.428571
10926,3108,3370,3256,3354,2958,3009,3203,22258,3179.714286
10927,12120,12094,12060,11952,11843,11711,11910,83690,11955.71429
10928,4004,4066,4029,4033,4035,4009,4175,28351,4050.142857
10930,8784,9021,8938,9050,9029,8937,8958,62717,8959.571429
10931,887,926,908,950,988,1024,1023,6706,958
10932,106,100,33,106,142,71,60,618,88.28571429
10933,927,809,797,819,553,216,473,4594,656.2857143
10940,49194,48651,48512,47833,48209,48800,48418,339617,48516.71429
10941,13242,13301,13572,13959,14006,13585,13779,95444,13634.85714
10950,49712,49065,48838,47611,47742,46739,47226,336933,48133.28571
10952,41631,41891,41619,40193,39271,38285,38917,281807,40258.14286
10953,190,102,123,162,133,152,252,1114,159.1428571
10954,23226,23809,23678,23550,22908,23125,23045,163341,23334.42857
10956,31450,31039,31090,30909,31426,31335,31521,218770,31252.85714
